The top 55 users who have the maximum followers.
timesofindia, TwitterAccount Followers:11095209
ndtv, TwitterAccount Followers:10577479
Swamy39, TwitterAccount Followers:6808091
Swamy39, TwitterAccount Followers:6808091
IndianExpress, TwitterAccount Followers:2760946
IndianExpress, TwitterAccount Followers:2760946
nytimesworld, TwitterAccount Followers:1908482
TOIIndiaNews, TwitterAccount Followers:878525
TOIIndiaNews, TwitterAccount Followers:878525
tsemtulku, TwitterAccount Followers:478992
bdnews24, TwitterAccount Followers:221326
orsini70, TwitterAccount Followers:180297
mappingmegan, TwitterAccount Followers:118189
talkhoops, TwitterAccount Followers:105712
Vitale_Justice, TwitterAccount Followers:97614
TrendsmapIndia, TwitterAccount Followers:86755
hindustanse, TwitterAccount Followers:80824
NeilsonInfo, TwitterAccount Followers:69820
notiven, TwitterAccount Followers:52879
sarkar_swati, TwitterAccount Followers:45407
CircleofBooks, TwitterAccount Followers:39492
WomensPowerBook, TwitterAccount Followers:33624
monicazyoung, TwitterAccount Followers:31893
monicazyoung, TwitterAccount Followers:31893
PolticsNewz, TwitterAccount Followers:30518
Salman_ki_sena, TwitterAccount Followers:28347
TaposKumarBasu, TwitterAccount Followers:27219
blue21sky, TwitterAccount Followers:25603
Pamela_O_Plays, TwitterAccount Followers:25024
AAOLion, TwitterAccount Followers:24477
CholericCleric, TwitterAccount Followers:23200
CholericCleric, TwitterAccount Followers:23200
BondeM4, TwitterAccount Followers:22757
BondeM4, TwitterAccount Followers:22757
kidsareatrip, TwitterAccount Followers:22293
lcs1122, TwitterAccount Followers:21708
festivaluprise, TwitterAccount Followers:21499
Stupidosaur, TwitterAccount Followers:19619
Stupidosaur, TwitterAccount Followers:19619
tasalinas, TwitterAccount Followers:18829
vinodsingh_75, TwitterAccount Followers:17809
jamescrabtree, TwitterAccount Followers:17800
bjkbrady, TwitterAccount Followers:16476
madni31, TwitterAccount Followers:16090
India_Bitcoin, TwitterAccount Followers:15317
SouthernGhosts, TwitterAccount Followers:15002
tgten, TwitterAccount Followers:14478
AuguraDigital, TwitterAccount Followers:14344
WebTweetCom, TwitterAccount Followers:14115
tufani_hindu, TwitterAccount Followers:13385
BitFeedCO, TwitterAccount Followers:12360
himmatshergill, TwitterAccount Followers:12357
iDeepakArora, TwitterAccount Followers:12201
iDeepakArora, TwitterAccount Followers:12201
aniljothomas, TwitterAccount Followers:12068
